ID: 1, Ciudad: A Corua La Corua, Numero de direcciones: 1
ID: 2, Ciudad: Abha, Numero de direcciones: 1
ID: 3, Ciudad: Abu Dhabi, Numero de direcciones: 1
ID: 4, Ciudad: Acua, Numero de direcciones: 0
ID: 5, Ciudad: Adana, Numero de direcciones: 1
ID: 6, Ciudad: Addis Abeba, Numero de direcciones: 1
ID: 7, Ciudad: Aden, Numero de direcciones: 1
ID: 8, Ciudad: Adoni, Numero de direcciones: 1
ID: 9, Ciudad: Ahmadnagar, Numero de direcciones: 1
ID: 10, Ciudad: Akishima, Numero de direcciones: 0
ID: 11, Ciudad: Akron, Numero de direcciones: 0
ID: 12, Ciudad: al-Ayn, Numero de direcciones: 1
ID: 13, Ciudad: al-Hawiya, Numero de direcciones: 1
ID: 14, Ciudad: al-Manama, Numero de direcciones: 0
ID: 15, Ciudad: al-Qadarif, Numero de direcciones: 1
ID: 16, Ciudad: al-Qatif, Numero de direcciones: 1
ID: 17, Ciudad: Alessandria, Numero de direcciones: 1
ID: 18, Ciudad: Allappuzha Alleppey, Numero de direcciones: 1
ID: 19, Ciudad: Allende, Numero de direcciones: 1
ID: 20, Ciudad: Almirante Brown, Numero de direcciones: 1
ID: 21, Ciudad: Alvorada, Numero de direcciones: 0
ID: 22, Ciudad: Ambattur, Numero de direcciones: 1
ID: 23, Ciudad: Amersfoort, Numero de direcciones: 1
ID: 24, Ciudad: Amroha, Numero de direcciones: 0
ID: 25, Ciudad: Angra dos Reis, Numero de direcciones: 1
ID: 26, Ciudad: Anpolis, Numero de direcciones: 1
ID: 27, Ciudad: Antofagasta, Numero de direcciones: 1
ID: 28, Ciudad: Aparecida de Goinia, Numero de direcciones: 1
ID: 29, Ciudad: Apeldoorn, Numero de direcciones: 1
ID: 30, Ciudad: Araatuba, Numero de direcciones: 1
ID: 31, Ciudad: Arak, Numero de direcciones: 1
ID: 32, Ciudad: Arecibo, Numero de direcciones: 1
ID: 33, Ciudad: Arlington, Numero de direcciones: 1
ID: 34, Ciudad: Ashdod, Numero de direcciones: 1
ID: 35, Ciudad: Ashgabat, Numero de direcciones: 1
ID: 36, Ciudad: Ashqelon, Numero de direcciones: 0
ID: 37, Ciudad: Asuncin, Numero de direcciones: 1
ID: 38, Ciudad: Athenai, Numero de direcciones: 1
ID: 39, Ciudad: Atinsk, Numero de direcciones: 1
ID: 40, Ciudad: Atlixco, Numero de direcciones: 1
ID: 41, Ciudad: Augusta-Richmond County, Numero de direcciones: 1
ID: 42, Ciudad: Aurora, Numero de direcciones: 1
ID: 43, Ciudad: Avellaneda, Numero de direcciones: 0
ID: 44, Ciudad: Bag, Numero de direcciones: 1
ID: 45, Ciudad: Baha Blanca, Numero de direcciones: 1
ID: 46, Ciudad: Baicheng, Numero de direcciones: 0
